tapped_wt,pouring_wt,last_heel_metal,lcrca_addition_1,sg_pigaddition_1,sg_pigaddition_2,rr,graphite,silicon_addition_1,silicon_addition_2,mn,low_re_fsm,zero_re_fsm,high_re_fsm,ultraseed,superseed,cs,al,preseed,tapping_temp,pouring_temp,pouring_time_sec,fsm,barinoc,reseed,sb,bath_s,crca,sg_pig,sorel_total,sorel_addition,rr_1,heel,ce,c,si,mn_1,p,s,cr,ni,al_1,cu,co,nb,ti,v,w,pb,sn,as,zr,ce_1,sb_1,b,zn,n,fe,fsmaddition_mt,mg_recovery,defect,feat_ce_calculated,feat_ce_hypo_risk,feat_ce_hyper_risk,feat_ce_optimal,feat_temp_loss,feat_temp_loss_risk,feat_temp_loss_low,feat_pouring_stability,feat_pouring_risk,feat_oxidation_risk,feat_graphitization_index,feat_white_iron_risk,feat_shrinkage_risk_index,feat_gas_risk_index,feat_chemistry_instability,feat_chemistry_ok,cluster,dbscan_cluster,pca_pc1,pca_pc2,anomaly_score,iso_flag,lof_flag,anomaly_flag,anomaly_severity,anomaly_level
3.5,3.0,0.0,1430.0,570.0,0.0,1600.0,63.0,5.0,0.0,0.0,19.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,1471.0,1392.0,54.0,1.09,0.4,0.0,0.7350000000000001,0.0194,40.0,16.0,0.0,0.0,44.0,0.0,4.27,3.74,2.04,0.167,0.0369,0.0095,0.0151,0.0083,0.008,0.0264,0.0026,0.00097,0.0192,0.0045,0.0021,0.0017,0.0019,0.003,0.0014,0.002,0.0031,0.00057,0.00075,0.0029,93.9,10.86,0.0033,1,4.27,0,0,1,79.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,-0.6166961844841538,0.4256910494316128,0.18033851240230928,0,1,1,NORMAL,0
4.8,4.5,0.0,0.0,0.0,0.0,2450.0,42.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,1361.0,91.0,0.7599999999999998,0.15,0.0,0.0,0.0329999999999999,39.0,6.0,0.0,0.0,51.0,0.0,3.93,3.15,1.62,0.361,0.0484999999999999,0.0169999999999999,0.0375999999999999,0.026,0.0028,0.349,0.005,0.0016,0.0148,0.0049,0.0049,0.0017,0.004,0.0038,0.0007,0.0019,0.0031,0.00071,0.0037,0.0074,93.5,7.51,0.0033,1,3.93,1,0,0,66.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1,3,-1,-7.877509816586945,-5.868766915126755,0.3422040733695341,1,0,1,LOW RISK,1
5.1,5.0,0.0,70.0,0.0,0.0,2840.0,55.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.0,1365.0,100.0,0.7599999999999998,0.157,0.0,0.0,0.0329999999999999,39.0,8.0,0.0,0.0,53.0,0.0,3.93,3.09,1.65,0.361,0.0484999999999999,0.0169999999999999,0.0375999999999999,0.0154,0.0045,0.35,0.0049,0.0016,0.0168,0.005,0.0049,0.0017,0.0033,0.0037,0.001,0.0016,0.0031,0.00071,0.0035,0.0074,93.6,7.51,0.0033,1,3.93,1,0,0,61.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1,3,1,-7.662681897464791,-5.279815101857295,0.3154375953346113,1,0,1,LOW RISK,1
4.1,4.1,0.0,1660.0,730.0,0.0,1810.0,68.0,16.0,6.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1430.0,1363.0,101.0,1.02,0.415,0.0,0.7350000000000001,0.019,40.0,17.0,0.0,0.0,43.0,0.0,4.17,3.64,2.06,0.17,0.0352,0.0102,0.0137,0.007,0.0072,0.0499,0.0024,0.0005,0.0177,0.0046,0.0021,0.0016,0.0018,0.0029,0.0013,0.0029,0.0031,0.00086,0.00051,0.0041,93.9,10.24,0.0033,1,4.17,1,0,0,67.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1,1,-1,-0.9354291402551383,-1.239054280568587,0.10721809999390694,0,0,0,NORMAL,0
15.5,14.5,0.0,6045.0,4110.0,0.0,2945.0,170.0,222.0,28.0,0.0,98.0,0.0,0.0,21.0,0.0,0.0,0.0,20.0,1450.0,1381.0,125.0,1.26,0.155,0.0,0.7350000000000001,0.02,39.0,38.0,0.0,0.0,19.0,0.0,4.18,3.18,3.92,0.156,0.0351,0.0059,0.0165,0.0074,0.0124,0.0196,0.0026,0.001,0.0296,0.0046,0.0049,0.0017,0.0032,0.0010999999999999,0.0029,0.002,0.0031,0.00074,0.0015,0.0063,92.5,12.65,0.0033,1,4.18,1,0,0,69.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1,2,-1,2.443695544624253,9.289204484602244,0.46481054797440186,1,1,1,MEDIUM RISK,2
6.2,6.2,0.0,2430.0,1430.0,0.0,2340.0,114.0,50.0,4.0,0.0,56.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,1435.0,1369.0,76.0,0.9,0.403,0.0,0.7350000000000001,0.01,39.0,23.0,0.0,0.0,38.0,0.0,4.22,3.66,2.15,0.152,0.0376,0.0078,0.0139,0.0069,0.0094,0.0134,0.0024,0.0012,0.0248,0.0042,0.0017,0.002,0.0015,0.0026,0.0042,0.0031,0.0031,0.00048,0.0012,0.0014,93.9,9.03,0.0035,1,4.22,0,0,1,66.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,1.3135330762098545,0.6225954536973017,0.16038847559785568,0,0,0,NORMAL,0
6.1,6.1,0.0,2500.0,1230.0,0.0,2020.0,105.0,50.0,6.0,0.0,56.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,1425.0,1357.0,65.0,0.92,0.393,0.0,0.7350000000000001,0.015,41.0,20.0,250.0,4.0,33.0,0.0,4.23,3.66,2.2,0.166,0.0386,0.0086,0.0147,0.0068,0.0099,0.0144,0.002,0.00089,0.0259,0.0049,0.0024,0.0025,0.0019,0.0035,0.002,0.0041,0.0031,0.00061,0.0014,0.0061,93.8,9.18,0.0037,1,4.23,0,0,1,68.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,0.883396037613064,-0.3910564512207801,0.142713110799143,0,0,0,NORMAL,0
5.0,4.9,0.0,0.0,0.0,0.0,2500.0,53.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,1358.0,73.0,0.7599999999999998,0.16,0.0,0.0,0.0329999999999999,40.0,10.0,0.0,0.0,50.0,0.0,3.93,3.08,1.66,0.361,0.0484999999999999,0.0169999999999999,0.0375999999999999,0.0122,0.0043,0.314,0.0041,0.0026,0.0186,0.0051,0.0048,0.0017,0.0033,0.0034,0.001,0.0019,0.0031,0.00012,0.0049,0.0074,93.6,7.51,0.0033,1,3.93,1,0,0,72.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1,3,1,-8.001098162656314,-5.248273245407303,0.3475474234819732,1,0,1,LOW RISK,1
4.1,4.05,0.0,1680.0,830.0,0.0,1550.0,71.0,34.0,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1437.0,1366.0,68.0,1.02,0.415,0.0,0.7350000000000001,0.023,39.0,19.0,140.0,3.0,36.0,0.0,4.21,3.66,2.11,0.144,0.0356,0.0108,0.0137,0.0071,0.0072,0.0557,0.0021,0.00033,0.0176,0.005,0.0021,0.002,0.0017,0.0031,0.0018,0.0034,0.0031,0.00059,0.00087,0.0046,93.9,10.24,0.0039,1,4.21,0,0,1,71.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,0,0.1485854261933139,-1.0074278513546318,0.11326881747752106,0,0,0,NORMAL,0
5.1,5.1,0.0,1990.0,810.0,0.0,2190.0,84.0,60.0,0.0,0.0,27.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,1439.0,1368.0,91.0,1.06,0.412,0.0,0.7350000000000001,0.024,39.0,16.0,110.0,2.0,43.0,0.0,4.26,3.61,2.52,0.218,0.0376,0.0098,0.017,0.008,0.0108,0.121,0.0021,0.00064,0.0204,0.0063,0.0018,0.0019,0.0019,0.003,0.0019,0.0027,0.0031,0.00076,0.00055,0.0036,93.4,10.59,0.0039,1,4.26,0,0,1,71.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,0.0266180418596655,0.1144999883379157,0.10809551953349472,0,0,0,NORMAL,0
